"@authors","Ростислав Суліма, Юрій Бісик, Максим Дуванов, Олександра Куцан, Марія Поліщук, Анна Чайка, Поліна Бузанова, Софія Шуль, Марина Піщалковська, Андрій Пекар, Анастасія Рутило, Оксана Ривко, Олег OnaHe, Андрій Яцечко, Юрій Павлюк, Богдана Вознюк, Оксана Буканова, Олексій Іванов, Анастасія Жищинська, Андрій Татарін"
"@vars","$he=він|вона,$him=ним|нею,$his=його|її,$him2=йому|їй,$him3=ньому|ній,$him4=нього|неї"

"name-consonants","бвгґджзклмнпрстфхцчш"
"name-vowels","аоуеіяю"
"act-barter-action","Торгувати"
"act-cancelTravel-action","Зупинити мандрівку"
"act-endgame-action","Головне меню"
"act-loot-action","Предмети"
"act-mapShot-action","Зберегти зняток"
"act-open-camp-action","Табір"
"act-report-action","Звіт"
"act-returnhome-action","Завершити експедицію!"
"act-showStats-action","Мапа"
"act-stopRest-action","Досить відпочивати"
"act-stopWait-action","Досить чекати"
"act-travel-action","У подорож!"
"anm-camel-title","Верблюд"
"anm-camel","Витривалий верблюд. Може нести багато вантажу."
"anm-chasmosaurus-title","Хазмозавр"
"anm-chasmosaurus","Великий і повільний травоїдний динозавр."
"anm-dog-hunting-title","Мисливський пес"
"anm-dog-hunting","Найкращий друг людини"
"anm-dog-husky-title","Хаскі"
"anm-dog-luis-name","Луїз"
"anm-dog-luis-title","Пес-слідовик"
"anm-dog-luis","Невеликий, але розумний собака. Вірний чотирилапий друг журналіста Тіма Тімстера."
"anm-dog-pug-title","Мопс"
"anm-dog-pug","Найкращий друг і таємний психотерапевт К'єльберґа. Любить вірші та тверк."
"anm-donkey-title","Віслюк"
"anm-donkey","Віслюки можуть нести багато вантажу."
"anm-elephant-title","Слон"
"anm-gorilla-title","Горила"
"anm-gorilla","Ледь-ледь приручена горила. Дика тварина, яка без ланцюга на шиї або втече, або одразу нападе на нас."
"anm-hyena-title","Гієна"
"anm-hyena","Ледь-ледь приручена гієна. Дика тварина, яка без ланцюга на шиї або втече, або одразу нападе на нас."
"anm-parasaurolophus-title","Паразавролоф"
"anm-parasaurolophus","Зазвичай дуже спокійний і дружній двоногий травоїдний динозавр, відомий своїм величезним черепним гребенем."
"anm-raptor-title","Раптор"
"anm-raptor","Дуже розумний, але дуже агресивний хижий динозавр."
"anm-tiger-battle-title","Бойовий тигр"
"anm-tiger-battle","Ледь-ледь приручений бойовий тигр. Дика тварина, яка без ланцюга на шиї або втече, або одразу нападе на нас."
"anm-tiger-title","Тигр"
"anm-tiger-white-title","Білий тигр"
"anm-sabertooth-title","Шаблезубий тигр"
"anm-tiger-white","Ледь-ледь приручений білий тигр. Дика тварина, яка без ланцюга на шиї або втече, або одразу нападе на нас."
