"@authors","Tomedes, Community translation review: Levsha Localization Studio"
"@vars","$he=он|она,$him=ему|ей,$his=его|её"

"name-consonants","бвгджзклмнпрстфхцчшщ"
"name-vowels","аеиоуыэюя"
"act-barter-action","Обмен"
"act-cancelTravel-action","Остановить путешествие"
"act-endgame-action","Вернуться в меню"
"act-loot-action","Предметы"
"act-mapShot-action","Сохранить скриншот"
"act-open-camp-action","Лагерь"
"act-report-action","Отчет"
"act-returnhome-action","Завершить экспедицию!"
"act-showStats-action","Карта"
"act-stopRest-action","Прервать отдых"
"act-stopWait-action","Прервать ожидание"
"act-travel-action","В путь!"
"anm-camel-title","Верблюд"
"anm-camel","Стоический верблюд. Способен переносить большой груз."
"anm-chasmosaurus-title","Хазмозавр"
"anm-chasmosaurus","Большой и медлительный травоядный динозавр."
"anm-dog-hunting-title","Охотничий пес"
"anm-dog-hunting","Лучший друг человека"
"anm-dog-husky-title","Хаски"
"anm-dog-luis-name","Луис"
"anm-dog-luis-title","Служебная собака"
"anm-dog-luis","Маленький смышленый пес. Верный четвероногий спутник журналиста Тима Тимстера."
"anm-dog-pug-title","Мопс"
"anm-dog-pug","Лучший друг и тайный мозгоправ Къелберга. Любит поэзию и вилять задом."
"anm-donkey-title","Осел"
"anm-donkey","Ослы способны переносить большой груз."
"anm-elephant-title","Слон"
"anm-gorilla-title","Горилла"
"anm-gorilla","Кое-как прирученная горилла. Дикое животное, которое удерживает от побега или нападения на вас только цепь на шее."
"anm-hyena-title","Гиена"
"anm-hyena","Кое-как прирученная гиена. Дикое животное, которое удерживает от побега или нападения на вас только цепь на шее."
"anm-parasaurolophus-title","Паразауролоф"
"anm-parasaurolophus","Обычно очень спокойный и дружелюбный двуногий травоядный динозавр. Известен своим большим загнутым гребнем."
"anm-raptor-title","Велоцираптор"
"anm-raptor","Довольно сообразительный, но крайне агрессивный плотоядный динозавр."
"anm-tiger-battle-title","Боевой тигр"
"anm-tiger-battle","Кое-как прирученный боевой тигр. Дикое животное, которое удерживает от побега или нападения на вас только цепь на шее."
"anm-tiger-title","Тигр"
